"","data","stato","codice_regione","denominazione_regione","lat","long","ricoverati_con_sintomi","terapia_intensiva","totale_ospedalizzati","isolamento_domiciliare","totale_attualmente_positivi","nuovi_attualmente_positivi","dimessi_guariti","deceduti","totale_casi","tamponi","note_it","note_en"
"1","2020-02-24T18:00:00","ITA",13,"Abruzzo",42.35122196,13.39843823,0,0,0,0,0,0,0,0,0,5,"",""
"2","2020-02-25T18:00:00","ITA",13,"Abruzzo",42.35122196,13.39843823,0,0,0,0,0,0,0,0,0,5,"",""
"3","2020-02-26T18:00:00","ITA",13,"Abruzzo",42.35122196,13.39843823,0,0,0,0,0,0,0,0,0,13,"",""
"4","2020-02-27T18:00:00","ITA",13,"Abruzzo",42.35122196,13.39843823,1,0,1,0,1,1,0,0,1,33,"",""
"5","2020-02-28T18:00:00","ITA",13,"Abruzzo",42.35122196,13.39843823,1,0,1,0,1,0,0,0,1,33,"",""
"6","2020-02-29T17:00:00","ITA",13,"Abruzzo",42.35122196,13.39843823,2,0,2,0,2,1,0,0,2,43,"",""
"7","2020-03-01T17:00:00","ITA",13,"Abruzzo",42.35122196,13.39843823,3,0,3,2,5,3,0,0,5,52,"",""
"8","2020-03-02T18:00:00","ITA",13,"Abruzzo",42.35122196,13.39843823,3,0,3,2,5,0,0,0,5,52,"",""
"9","2020-03-03T18:00:00","ITA",13,"Abruzzo",42.35122196,13.39843823,5,0,5,1,6,1,0,0,6,52,"",""
"10","2020-03-04T17:00:00","ITA",13,"Abruzzo",42.35122196,13.39843823,7,0,7,0,7,1,0,0,7,85,"",""
"11","2020-03-05T17:00:00","ITA",13,"Abruzzo",42.35122196,13.39843823,8,0,8,0,8,1,0,0,8,96,"",""
"12","2020-03-06T17:00:00","ITA",13,"Abruzzo",42.35122196,13.39843823,9,0,9,0,9,1,0,0,9,96,"",""
"13","2020-03-07T18:00:00","ITA",13,"Abruzzo",42.35122196,13.39843823,11,0,11,0,11,2,0,0,11,123,"",""
"14","2020-03-08T18:00:00","ITA",13,"Abruzzo",42.35122196,13.39843823,14,0,14,3,17,6,0,0,17,163,"",""
"15","2020-03-09T18:00:00","ITA",13,"Abruzzo",42.35122196,13.39843823,25,0,25,5,30,13,0,0,30,237,"",""
"16","2020-03-10T18:00:00","ITA",13,"Abruzzo",42.35122196,13.39843823,17,9,26,11,37,7,0,1,38,310,"",""
"17","2020-03-11T17:00:00","ITA",13,"Abruzzo",42.35122196,13.39843823,17,9,26,11,37,0,0,1,38,310,"nd-IT-0001","nd-EN-0001"
"18","2020-03-12T17:00:00","ITA",13,"Abruzzo",42.35122196,13.39843823,47,12,59,19,78,41,4,2,84,867,"",""
"19","2020-03-13T17:00:00","ITA",13,"Abruzzo",42.35122196,13.39843823,42,14,56,27,83,5,4,2,89,958,"",""
"20","2020-03-14T17:00:00","ITA",13,"Abruzzo",42.35122196,13.39843823,51,14,65,41,106,23,4,2,112,1232,"",""
"21","2020-03-15T17:00:00","ITA",13,"Abruzzo",42.35122196,13.39843823,72,28,100,28,128,22,6,3,137,1419,"",""
"22","2020-03-16T17:00:00","ITA",13,"Abruzzo",42.35122196,13.39843823,71,37,108,57,165,37,7,4,176,1533,"",""
"23","2020-03-17T17:00:00","ITA",13,"Abruzzo",42.35122196,13.39843823,94,32,126,90,216,51,7,6,229,1688,"",""
"24","2020-03-18T17:00:00","ITA",13,"Abruzzo",42.35122196,13.39843823,99,41,140,109,249,33,7,7,263,2054,"",""
"25","2020-03-19T17:00:00","ITA",13,"Abruzzo",42.35122196,13.39843823,181,47,228,138,366,117,8,11,385,2409,"",""
"26","2020-03-20T17:00:00","ITA",13,"Abruzzo",42.35122196,13.39843823,190,48,238,184,422,56,10,17,449,2695,"",""
"27","2020-03-21T17:00:00","ITA",13,"Abruzzo",42.35122196,13.39843823,185,44,229,265,494,72,13,22,529,3035,"",""
"28","2020-03-22T17:00:00","ITA",13,"Abruzzo",42.35122196,13.39843823,218,49,267,272,539,45,15,33,587,3375,"",""
"29","2020-03-23T17:00:00","ITA",13,"Abruzzo",42.35122196,13.39843823,228,52,280,325,605,66,20,38,663,3674,"",""
"30","2020-03-24T17:00:00","ITA",13,"Abruzzo",42.35122196,13.39843823,234,57,291,331,622,17,21,46,689,4294,"",""
"31","2020-03-25T17:00:00","ITA",13,"Abruzzo",42.35122196,13.39843823,248,59,307,431,738,116,23,52,813,4982,"",""
"32","2020-03-26T17:00:00","ITA",13,"Abruzzo",42.35122196,13.39843823,280,64,344,516,860,122,23,63,946,5488,"",""
"33","2020-03-27T17:00:00","ITA",13,"Abruzzo",42.35122196,13.39843823,289,71,360,565,925,65,24,68,1017,6109,"",""
