"","data","stato","codice_regione","denominazione_regione","lat","long","ricoverati_con_sintomi","terapia_intensiva","totale_ospedalizzati","isolamento_domiciliare","totale_positivi","variazione_totale_positivi","nuovi_positivi","dimessi_guariti","deceduti","totale_casi","tamponi","note_it","note_en"
"1","2020-02-24T18:00:00","ITA",8,"Emilia-Romagna",44.49436681,11.3417208,10,2,12,6,18,0,18,0,0,18,148,"",""
"2","2020-02-25T18:00:00","ITA",8,"Emilia-Romagna",44.49436681,11.3417208,15,2,17,9,26,8,8,0,0,26,391,"",""
"3","2020-02-26T18:00:00","ITA",8,"Emilia-Romagna",44.49436681,11.3417208,20,3,23,23,46,20,21,0,1,47,577,"",""
"4","2020-02-27T18:00:00","ITA",8,"Emilia-Romagna",44.49436681,11.3417208,36,6,42,54,96,50,50,0,1,97,1033,"",""
"5","2020-02-28T18:00:00","ITA",8,"Emilia-Romagna",44.49436681,11.3417208,56,6,62,81,143,47,48,0,2,145,1277,"",""
"6","2020-02-29T17:00:00","ITA",8,"Emilia-Romagna",44.49436681,11.3417208,86,11,97,116,213,70,72,0,4,217,1550,"",""
"7","2020-03-01T17:00:00","ITA",8,"Emilia-Romagna",44.49436681,11.3417208,127,13,140,137,277,64,68,0,8,285,1795,"",""
"8","2020-03-02T18:00:00","ITA",8,"Emilia-Romagna",44.49436681,11.3417208,148,16,164,160,324,47,50,0,11,335,1973,"",""
"9","2020-03-03T18:00:00","ITA",8,"Emilia-Romagna",44.49436681,11.3417208,187,24,211,187,398,74,85,4,18,420,2012,"",""
"10","2020-03-04T17:00:00","ITA",8,"Emilia-Romagna",44.49436681,11.3417208,256,26,282,234,516,118,124,6,22,544,2500,"",""
"11","2020-03-05T17:00:00","ITA",8,"Emilia-Romagna",44.49436681,11.3417208,327,32,359,299,658,142,154,10,30,698,2884,"",""
"12","2020-03-06T17:00:00","ITA",8,"Emilia-Romagna",44.49436681,11.3417208,397,53,450,366,816,158,172,17,37,870,3136,"",""
"13","2020-03-07T18:00:00","ITA",8,"Emilia-Romagna",44.49436681,11.3417208,464,64,528,409,937,121,140,25,48,1010,3604,"",""
"14","2020-03-08T18:00:00","ITA",8,"Emilia-Romagna",44.49436681,11.3417208,542,75,617,480,1097,160,170,27,56,1180,4344,"",""
"15","2020-03-09T18:00:00","ITA",8,"Emilia-Romagna",44.49436681,11.3417208,576,90,666,620,1286,189,206,30,70,1386,4906,"",""
"16","2020-03-10T18:00:00","ITA",8,"Emilia-Romagna",44.49436681,11.3417208,669,98,767,650,1417,131,147,31,85,1533,5494,"",""
"17","2020-03-11T17:00:00","ITA",8,"Emilia-Romagna",44.49436681,11.3417208,745,104,849,739,1588,171,206,38,113,1739,6640,"",""
"18","2020-03-12T17:00:00","ITA",8,"Emilia-Romagna",44.49436681,11.3417208,814,112,926,832,1758,170,208,43,146,1947,7600,"",""
"19","2020-03-13T17:00:00","ITA",8,"Emilia-Romagna",44.49436681,11.3417208,942,128,1070,941,2011,253,316,51,201,2263,8787,"",""
"20","2020-03-14T17:00:00","ITA",8,"Emilia-Romagna",44.49436681,11.3417208,1076,152,1228,1121,2349,338,381,54,241,2644,10043,"",""
"21","2020-03-15T17:00:00","ITA",8,"Emilia-Romagna",44.49436681,11.3417208,1215,169,1384,1357,2741,392,449,68,284,3093,12054,"",""
"22","2020-03-16T17:00:00","ITA",8,"Emilia-Romagna",44.49436681,11.3417208,1362,197,1559,1529,3088,347,429,88,346,3522,13096,"",""
"23","2020-03-17T17:00:00","ITA",8,"Emilia-Romagna",44.49436681,11.3417208,1566,223,1789,1615,3404,316,409,134,393,3931,14510,"nd-IT-0008","nd-EN-0008"
"24","2020-03-18T17:00:00","ITA",8,"Emilia-Romagna",44.49436681,11.3417208,1784,247,2031,1884,3915,511,594,152,458,4525,15461,"nd-IT-0011","nd-EN-0011"
"25","2020-03-19T17:00:00","ITA",8,"Emilia-Romagna",44.49436681,11.3417208,1900,260,2160,2346,4506,591,689,177,531,5214,18344,"",""
"26","2020-03-20T17:00:00","ITA",8,"Emilia-Romagna",44.49436681,11.3417208,2083,267,2350,2739,5089,583,754,239,640,5968,20753,"",""
"27","2020-03-21T17:00:00","ITA",8,"Emilia-Romagna",44.49436681,11.3417208,2267,265,2532,3129,5661,572,737,329,715,6705,24620,"",""
"28","2020-03-22T17:00:00","ITA",8,"Emilia-Romagna",44.49436681,11.3417208,2429,269,2698,3692,6390,729,850,349,816,7555,28022,"",""
"29","2020-03-23T17:00:00","ITA",8,"Emilia-Romagna",44.49436681,11.3417208,2846,276,3122,4098,7220,830,980,423,892,8535,31200,"",""
"30","2020-03-24T17:00:00","ITA",8,"Emilia-Romagna",44.49436681,11.3417208,2974,291,3265,4446,7711,491,719,558,985,9254,33527,"",""
"31","2020-03-25T17:00:00","ITA",8,"Emilia-Romagna",44.49436681,11.3417208,3180,294,3474,4782,8256,545,800,721,1077,10054,38045,"",""
"32","2020-03-26T17:00:00","ITA",8,"Emilia-Romagna",44.49436681,11.3417208,3354,301,3655,5195,8850,594,762,792,1174,10816,42395,"",""
"33","2020-03-27T17:00:00","ITA",8,"Emilia-Romagna",44.49436681,11.3417208,3461,308,3769,5592,9361,511,772,960,1267,11588,47798,"",""
"34","2020-03-28T17:00:00","ITA",8,"Emilia-Romagna",44.49436681,11.3417208,3695,316,4011,5953,9964,603,795,1075,1344,12383,52991,"",""
"35","2020-03-29T17:00:00","ITA",8,"Emilia-Romagna",44.49436681,11.3417208,3769,333,4102,6433,10535,571,736,1141,1443,13119,52991,"pd-IT-0008","pd-EN-0008"
"36","2020-03-30T17:00:00","ITA",8,"Emilia-Romagna",44.49436681,11.3417208,3779,351,4130,6636,10766,231,412,1227,1538,13531,50990,"",""
"37","2020-03-31T17:00:00","ITA",8,"Emilia-Romagna",44.49436681,11.3417208,3765,353,4118,6835,10953,187,543,1477,1644,14074,54532,"",""
"38","2020-04-01T17:00:00","ITA",8,"Emilia-Romagna",44.49436681,11.3417208,3898,359,4257,7232,11489,536,713,1566,1732,14787,58457,"",""
"39","2020-04-02T17:00:00","ITA",8,"Emilia-Romagna",44.49436681,11.3417208,3944,366,4310,7549,11859,370,546,1663,1811,15333,60507,"",""
